1,52.6133194400N 25.0754416700E,2.5,,
2,54.6816660000N 28.5013880000E,2.5,,
3,55.5166660000N 29.9480550000E,5,,
4,"52.4159923649N 30.7224218335E
52.4166306762N 30.7620912812E
52.3755470572N 30.7758363969E
52.3636192261N 30.7332091394E
52.4159923649N 30.7224218335E",,,
5,52.4570388900N 31.5429527800Е,2.5,,
6,53.3125000000N 28.7975000000E,2,,
7,53.1713880000N 27.6283330000E,3,,
8,"53.9119440000N 27.5658330000E
53.9102770000N 27.5638880000E
53.9088880000N 27.5669440000E
53.9102770000N 27.5691660000E
53.9119440000N 27.5658330000E",,,
9,"53.9008330000N 27.5813880000E
53.9000000000N 27.5797220000E
53.8986110000N 27.5811110000E
53.8994440000N 27.5830550000E
53.9000000000N 27.5825000000E
53.9008330000N 27.5813880000E",,,
10,"53.8718520000N 27.6388730000E
53.8692330000N 27.6465550000E
53.8625580000N 27.6411480000E
53.8664010000N 27.6322220000E
53.8718520000N 27.6388730000E",,,
11,"53.9183333371N 27.5658333334E
53.9166666704N 27.5655555556E
53.9161111148N 27.5716666667E
53.9183333371N 27.5738888889E
53.9188888926N 27.5711111112E
53.9180555593N 27.5708333334E
53.9183333371N 27.5658333334E",,,
12,53.7091660000N 27.3438880000E,1.5,,
13,53.8644440000N 27.0777770000E,2.5,,
14,54.0466660000N 27.1363880000E,1.5,,
15,53.6197220000N 27.1169440000E,1.5,,
16,54.0172220000N 27.6041660000E,2.5,,
17,54.1925000000N 27.7619440000E,1.5,,
18,53.7280550000N 23.8638880000E,1.5,,
19,"53.1953570000N 26.1661690000E
53.1123030000N 26.3067310000E
52.9353510000N 26.0225700000E
53.0186830000N 25.8825650000E
53.1953570000N 26.1661690000E",,,
20,"53.8802777815N 27.5494444445E
53.8427777815N 27.3580555556E
53.6230555592N 27.4869444445E
53.6625000037N 27.6758333334E
53.7357308932N 27.6397403516E
53.7527729443N 27.7427347720E
53.8125000037N 27.7041666667E
53.7936111148N 27.6000000001E
53.8802777815N 27.5494444445E",,,
21,"53.1031840000N 28.9981460000E
53.1351360000N 29.4012040000E
53.0187460000N 29.4278770000E
52.9862390000N 29.0259300000E
53.1031840000N 28.9981460000E",,,
22,"53.9797960000N 25.2686220000E
54.0189660000N 25.4577880000E
53.7934110000N 25.5947460000E
53.7506290000N 25.4091910000E
53.9797960000N 25.2686220000E",,,
23,"52.3364640000N 26.6012150000E
52.2514700000N 26.9690000000E
52.1409110000N 26.8990050000E
52.2253510000N 26.5345530000E
52.3364640000N 26.6012150000E",,,
24,"55.7366666709N 28.5197222224E
55.6647222265N 28.9811111116E
55.5525000042N 28.9219444449E
55.6225000042N 28.4627777780E
55.7366666709N 28.5197222224E",,,
25,"53.9286350000N 27.6088560000E
53.9307070000N 27.5965890000E
53.9358770000N 27.6008170000E
53.9331620000N 27.6120050000E
53.9286350000N 27.6088560000E",,,
26,"53.9476780000N 27.6636030000E
53.9653810000N 27.6452450000E
53.9635920000N 27.6439310000E
53.9612820000N 27.6389800000E
53.9589050000N 27.6318230000E
53.9476780000N 27.6636030000E",,,
27,52.0700000000N 29.1769440000E,1.2,,
28,52.4755550000N 30.7797220000E,1,,
29,52.5455550000N 23.8100000000E,0.9,,
30,53.9775750000N 26.9074720000E,1.5,,
31,53.3075000000N 24.3750000000E,3,,
32,52.9420800000N 24.3360050000E,1.1,,
33,55.1141660000N 26.7705550000E,1.5,,
34,54.5736110000N 30.4777770000E,3,,
35,54.1488880000N 25.8922220000E,1.5,,
36,"54.7005081831N 26.0553026085E
54.7389823592N 26.0375122531E
54.7840509570N 26.0459263928E
54.7978311638N 26.1160681990E
54.7739149491N 26.1472221552E
54.7179368961N 26.1689607959E
54.7005621026N 26.1417061693E
54.7005081831N 26.0553026085E",,,
37,53.1260400000N 26.0357000000E,0.1,,
38,"52.7164490000N 25.4731310000E
52.7747850000N 25.5981300000E
52.7997890000N 25.7981310000E
52.7164570000N 25.9398020000E
52.5914520000N 25.7398070000E
52.5997830000N 25.6064730000E
52.6831150000N 25.4814660000E
52.7164490000N 25.4731310000E",,,
39,"53.6692270000N 25.5000780000E
53.6217400000N 25.5016980000E
53.6234090000N 25.6378100000E
53.6809090000N 25.6358620000E
53.6959080000N 25.5444720000E
53.6692270000N 25.5000780000E",,,
40,"52.8008830000N 24.8278460000E
52.7939390000N 24.8606230000E
52.7747730000N 24.9142350000E
52.7531060000N 24.9270140000E
52.7306060000N 24.9311820000E
52.6789380000N 24.9100730000E
52.6817150000N 24.8600730000E
52.7322700000N 24.7942360000E
52.7967160000N 24.7975670000E
52.8008830000N 24.8278460000E",,,
41,"52.0555550967N 23.7214213987E
52.0592935229N 23.7123420849E
52.0627075362N 23.7099232610E
52.0622689434N 23.7149216349E
52.0655163560N 23.7192829443E
52.0651058327N 23.7256630652E
52.0643280249N 23.7270302102E
52.0610748210N 23.7248794924E
52.0589910030N 23.7278715675E
52.0555550967N 23.7214213987E",,,
